City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Hilo,US,2022-05-12 20:28:22,19.7297,-155.09,83.28,75,0,8.05
59,Dikson,RU,2022-05-12 20:28:22,73.5069,80.5464,13.82,92,98,6.15
60,Keetmanshoop,NA,2022-05-12 20:28:23,-26.5833,18.1333,60.69,23,0,6.58
61,Chuy,UY,2022-05-12 20:28:23,-33.6971,-53.4616,59.07,63,56,8.05
62,Hualmay,PE,2022-05-12 20:28:24,-11.0964,-77.6139,69.39,72,35,10.27
63,Casablanca,MA,2022-05-12 20:28:24,33.5928,-7.6192,80.62,61,85,4.52
64,Tiksi,RU,2022-05-12 20:28:24,71.6872,128.8694,13.33,88,10,9.95
65,Provideniya,RU,2022-05-12 20:28:25,64.3833,-173.3,37.51,81,20,4.47
66,Beringovskiy,RU,2022-05-12 20:28:25,63.05,179.3167,36.9,77,38,4.83
67,Manacor,ES,2022-05-12 20:28:25,39.5696,3.2096,68.4,86,25,3.58
68,Dawei,MM,2022-05-12 20:28:26,14.0833,98.2,78.49,88,100,1.97
69,Vaini,TO,2022-05-12 20:28:26,-21.2,-175.2,73.56,53,75,12.66
70,Torbay,CA,2022-05-12 20:28:26,47.6666,-52.7314,63.75,71,75,20.71
71,Booue,GA,2022-05-12 20:28:27,-0.0921,11.9385,77.05,83,58,1.57
72,Viareggio,IT,2022-05-12 20:28:27,43.8735,10.2558,63.03,73,32,4.65
73,Lata,PT,2022-05-12 20:28:28,40.1629,-8.3327,60.69,67,19,2.28
74,Ilulissat,GL,2022-05-12 20:28:28,69.2167,-51.1,26.62,59,40,5.75
75,Saint-Philippe,RE,2022-05-12 20:28:29,-21.3585,55.7679,71.19,76,38,6.96
76,Pisco,PE,2022-05-12 20:28:29,-13.7,-76.2167,70.02,77,0,6.91
77,Waingapu,ID,2022-05-12 20:28:30,-9.6567,120.2641,76.5,82,44,4.7
78,Bethel,US,2022-05-12 20:27:47,41.3712,-73.414,81.66,62,40,6.91
79,Voznesenye,RU,2022-05-12 20:28:30,61.0106,35.4781,44.71,99,100,6.08
80,Puerto Ayora,EC,2022-05-12 20:28:31,-0.7393,-90.3518,80.56,88,52,1.99
81,Jamestown,US,2022-05-12 20:25:49,42.097,-79.2353,82.04,19,0,4.61
82,Dingle,PH,2022-05-12 20:28:31,10.9995,122.6711,77.65,86,100,4.7
83,Broken Hill,AU,2022-05-12 20:28:31,-31.95,141.4333,56.37,90,16,4.68
84,Ushuaia,AR,2022-05-12 20:28:32,-54.8,-68.3,44.26,93,75,2.3
85,Trapani,IT,2022-05-12 20:28:32,37.8333,12.6667,65.28,82,0,1.14
86,Chokurdakh,RU,2022-05-12 20:28:33,70.6333,147.9167,24.12,94,100,9.31
87,Camana,PE,2022-05-12 20:28:33,-16.6228,-72.7111,67.86,76,8,6.6
88,Turayf,SA,2022-05-12 20:29:33,31.6725,38.6637,66.45,27,0,11.5
89,Albany,US,2022-05-12 20:28:12,42.6001,-73.9662,86.92,36,15,1.01
90,Nikolskoye,RU,2022-05-12 20:29:34,59.7035,30.7861,46.29,85,100,11.92
91,Ajaccio,FR,2022-05-12 20:24:38,42.0,8.9167,59.05,72,0,4.61
92,Meulaboh,ID,2022-05-12 20:29:34,4.1363,96.1285,78.15,84,100,3.96
93,Leningradskiy,RU,2022-05-12 20:29:35,69.3833,178.4167,21.76,80,20,6.06
94,Faanui,PF,2022-05-12 20:29:35,-16.4833,-151.75,82.2,69,8,19.53
95,Castro,BR,2022-05-12 20:29:35,-24.7911,-50.0119,63.72,76,3,4.74
96,Santa Maria,BR,2022-05-12 20:29:36,-29.6842,-53.8069,63.7,63,20,2.3
97,Tamiahua,MX,2022-05-12 20:29:36,21.2667,-97.45,86.11,59,25,12.57
98,Hermanus,ZA,2022-05-12 20:29:37,-34.4187,19.2345,61.81,70,11,12.53
99,Lompoc,US,2022-05-12 20:29:37,34.6391,-120.4579,80.69,52,0,23.0
100,Drayton Valley,CA,2022-05-12 20:29:37,53.2168,-114.9854,57.97,36,5,6.44
101,Kahului,US,2022-05-12 20:26:52,20.8947,-156.47,82.42,47,40,21.85
102,Chifeng,CN,2022-05-12 20:29:38,42.2683,118.9636,41.02,26,0,6.26
103,Muroto,JP,2022-05-12 20:29:38,33.2833,134.15,70.3,97,100,6.46
104,Tyukalinsk,RU,2022-05-12 20:29:38,55.8732,72.1967,51.06,66,73,1.68
105,Constitucion,CL,2022-05-12 20:29:39,-35.3333,-72.4167,54.77,92,100,2.01
106,Qaanaaq,GL,2022-05-12 20:27:42,77.484,-69.3632,18.28,73,21,2.59
107,Marsh Harbour,BS,2022-05-12 20:29:39,26.5412,-77.0636,75.97,64,34,3.15
108,Hambantota,LK,2022-05-12 20:28:08,6.1241,81.1185,80.31,82,94,16.35
109,Lasa,IT,2022-05-12 20:29:40,46.6166,10.7002,67.08,95,75,2.98
110,Khatanga,RU,2022-05-12 20:29:40,71.9667,102.5,7.2,94,12,9.93
111,Krasnyy Kholm,RU,2022-05-12 20:29:40,58.0607,37.1203,50.81,94,100,17.29
112,Katherine,AU,2022-05-12 20:28:59,-14.4667,132.2667,75.52,64,100,8.05
113,Umm Kaddadah,SD,2022-05-12 20:29:41,13.6017,26.6876,87.82,9,90,12.19
114,Sao Filipe,CV,2022-05-12 20:29:41,14.8961,-24.4956,75.74,71,74,9.17
115,Coahuayana,MX,2022-05-12 20:29:42,18.7333,-103.6833,95.65,35,5,8.7
116,Hovd,MN,2022-05-12 20:29:42,48.0056,91.6419,41.23,23,23,2.62
117,Port Alfred,ZA,2022-05-12 20:29:42,-33.5906,26.891,62.55,82,0,13.13
118,Yulara,AU,2022-05-12 20:29:43,-25.2406,130.9889,54.23,64,0,7.11
119,Mecca,SA,2022-05-12 20:29:43,21.4267,39.8261,88.23,28,0,5.08
120,Mandurah,AU,2022-05-12 20:29:43,-32.55,115.7,59.92,71,100,27.16
121,Galveston,US,2022-05-12 20:29:44,29.3669,-94.9669,92.05,59,0,10.36
122,Acajutla,SV,2022-05-12 20:29:44,13.5928,-89.8275,89.78,52,20,9.26
123,Nelson Bay,AU,2022-05-12 20:29:45,-32.7167,152.15,67.08,98,100,1.01
124,Nome,US,2022-05-12 20:29:45,64.5011,-165.4064,38.16,81,75,21.85
125,Kismayo,SO,2022-05-12 20:29:45,-0.3582,42.5454,80.85,76,93,15.21
126,Falam,MM,2022-05-12 20:29:46,22.9167,93.6833,61.63,93,98,3.83
127,Kedougou,SN,2022-05-12 20:29:46,12.5579,-12.1743,95.86,15,100,3.02
128,Camacupa,AO,2022-05-12 20:29:46,-12.0167,17.4833,65.01,57,40,4.14
129,Cascais,PT,2022-05-12 20:29:47,38.6979,-9.4215,73.26,43,0,14.97
130,Narsaq,GL,2022-05-12 20:29:14,60.9167,-46.05,44.82,88,100,1.1
131,Fukue,JP,2022-05-12 20:29:47,32.6881,128.8419,66.56,95,100,13.0
132,Lisakovsk,KZ,2022-05-12 20:29:48,52.5369,62.4936,56.61,53,100,17.94
133,Kilindoni,TZ,2022-05-12 20:29:48,-7.9139,39.6668,80.92,72,22,18.03
134,Kihei,US,2022-05-12 20:29:48,20.785,-156.4656,82.42,68,40,21.85
135,Grand Gaube,MU,2022-05-12 20:30:49,-20.0064,57.6608,73.8,82,12,3.0
136,Iqaluit,CA,2022-05-12 20:30:04,63.7506,-68.5145,24.53,73,40,19.57
137,Sambava,MG,2022-05-12 20:30:49,-14.2667,50.1667,73.98,86,18,11.97
138,Tasiilaq,GL,2022-05-12 20:30:50,65.6145,-37.6368,30.36,64,26,4.61
139,Chiredzi,ZW,2022-05-12 20:30:50,-21.05,31.6667,64.53,66,7,3.49
140,Sangmelima,CM,2022-05-12 20:30:50,2.9333,11.9833,71.49,78,7,1.83
141,Comodoro Rivadavia,AR,2022-05-12 20:30:51,-45.8667,-67.5,51.66,76,40,2.3
142,Bismarck,US,2022-05-12 20:30:51,46.8083,-100.7837,69.64,81,40,27.63
143,Dunedin,NZ,2022-05-12 20:30:51,-45.8742,170.5036,48.79,76,83,4.68
144,Lubao,PH,2022-05-12 20:30:52,14.9167,120.55,83.91,82,11,1.48
145,Yerbogachen,RU,2022-05-12 20:30:52,61.2767,108.0108,41.76,92,45,4.41
146,Port Elizabeth,ZA,2022-05-12 20:30:52,-33.918,25.5701,60.31,90,20,8.05
147,Manono,CD,2022-05-12 20:30:53,-7.3,27.4167,76.14,56,100,3.96
148,Lebu,CL,2022-05-12 20:28:57,-37.6167,-73.65,55.76,80,100,5.55
149,Veere,NL,2022-05-12 20:30:53,51.5483,3.6667,57.2,74,30,20.71
150,Touros,BR,2022-05-12 20:28:34,-5.1989,-35.4608,80.28,80,28,12.71
151,Souillac,MU,2022-05-12 20:30:54,-20.5167,57.5167,73.78,88,40,3.44
152,Grindavik,IS,2022-05-12 20:30:54,63.8424,-22.4338,42.75,65,40,16.11
153,Barinas,VE,2022-05-12 20:30:54,8.6226,-70.2075,88.54,50,98,3.94
154,La Asuncion,VE,2022-05-12 20:30:55,11.0333,-63.8628,80.62,78,74,20.33
155,Ust-Nera,RU,2022-05-12 20:30:55,64.5667,143.2,30.45,80,11,3.18
156,Mangaluru,IN,2022-05-12 20:30:56,12.8667,74.8833,77.86,83,100,5.75
157,Saint-Joseph,RE,2022-05-12 20:30:56,-21.3667,55.6167,70.18,76,26,3.89
158,Calbuco,CL,2022-05-12 20:28:22,-41.768,-73.1273,49.69,78,100,16.46
