City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,Bitung,ID,81.45,overcast clouds,1.4451,125.1824,K2 Lembeh
511,Razam,IN,83.8,few clouds,18.4667,83.6667,Taj bakery and sweets
517,Ler,SS,80.26,light rain,8.3018,30.1418,Leer Humanitarian Hub
519,Tautira,PF,80.56,clear sky,-17.7333,-149.15,Pension Oaoa
520,Diebougou,BF,85.42,clear sky,10.9667,-3.25,Hotel Le Consulat
523,Miramar,US,82.42,broken clouds,25.9873,-80.2323,Stadium Hotel
526,Sisophon,KH,84.94,overcast clouds,13.5859,102.9737,Pyramid Hotel
527,Gizo,SB,83.98,broken clouds,-8.103,156.8419,Imagination Island
532,Mecca,SA,89.37,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
536,Tarakan,ID,80.1,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
538,Labuan,MY,86.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
551,Champa,IN,89.82,scattered clouds,22.05,82.65,Hotel Jaipuria
552,Kavaratti,IN,80.62,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
573,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
575,Bambanglipuro,ID,82.31,overcast clouds,-7.95,110.2833,Puri Brata
588,Paciran,ID,82.72,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
596,Manggar,ID,85.93,overcast clouds,-2.8833,108.2667,Guest Hotel
612,Madang,PG,83.84,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
617,Pyapon,MM,83.7,few clouds,16.2833,95.6833,Aung Naing Thu Motel
620,Banjar,ID,84.49,scattered clouds,-8.19,114.9675,The Hamsa Resort
633,Yaring,TH,83.28,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
634,Katherine,AU,82.72,clear sky,-14.4667,132.2667,Pine Tree Motel
641,Cotonou,BJ,82.38,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
642,Monrovia,LR,80.26,light rain,6.3005,-10.7969,Sunset Inn
647,General Cepeda,MX,80.08,scattered clouds,25.3833,-101.45,Hacienda Los Jose
657,Kulhudhuffushi,MV,83.77,overcast clouds,6.6221,73.07,Haajy Guest House 1
659,Houma,US,82.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
671,Pandan,PH,86.22,broken clouds,14.0453,124.1694,Bonifacio Lodge
674,Banda Aceh,ID,83.07,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
682,Narsingi,IN,84.47,few clouds,18.0333,78.4333,Sri sai ram hotel
683,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
