City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Barrow,US,71.2906,-156.7887,30.22,86,0,18.41,clear sky
80,Arman,RU,59.7,150.1667,41.02,92,100,12.73,light rain
81,Kavieng,PG,-2.5744,150.7967,84.67,64,33,6.22,scattered clouds
82,Ponta Do Sol,PT,32.6667,-17.1,67.01,83,26,7.47,scattered clouds
83,Susangerd,IR,31.5608,48.1831,80.15,14,3,8.57,clear sky
84,Narsaq,GL,60.9167,-46.05,39.42,79,100,2.91,overcast clouds
85,Lasa,IT,46.6166,10.7002,59.88,91,56,1.72,broken clouds
86,Siwana,IN,25.6333,72.4167,82.06,56,0,11.86,clear sky
87,Paracuru,BR,-3.41,-39.0306,82.11,86,97,10.2,overcast clouds
88,Arawa,PG,-6.2132,155.5367,87.73,61,26,4.14,scattered clouds
89,Cape Town,ZA,-33.9258,18.4232,60.91,76,0,8.99,clear sky
90,Port Elizabeth,ZA,-33.918,25.5701,52.32,95,0,4.61,clear sky
91,Alta Floresta,BR,-9.8756,-56.0861,77.94,71,97,0.72,light rain
92,Bondo,CD,3.8146,23.6866,66.51,92,96,1.5,overcast clouds
93,Quatre Cocos,MU,-20.2078,57.7625,75.31,78,13,10.63,few clouds
94,Saldanha,ZA,-33.0117,17.9442,51.85,83,0,10.11,clear sky
95,Gimli,CA,50.6336,-96.9907,50.02,62,100,9.22,overcast clouds
96,Kapaa,US,22.0752,-159.319,82.38,75,20,13.8,few clouds
97,Jeremie,HT,18.65,-74.1167,79.54,77,100,3.29,overcast clouds
98,Nikolskoye,RU,59.7035,30.7861,44.8,97,70,4.83,broken clouds
99,Port-Cartier,CA,50.0334,-66.8654,52.75,72,63,3.02,broken clouds
100,Talakan,RU,50.3167,130.3667,44.02,60,95,14.43,overcast clouds
101,Ambovombe,MG,-25.1667,46.0833,64.76,86,0,2.44,clear sky
102,Georgetown,MY,5.4112,100.3354,82.33,93,20,2.3,few clouds
103,Vanavara,RU,60.34,102.2797,61.61,40,12,2.33,few clouds
104,Jamestown,US,42.097,-79.2353,73.04,60,40,0.0,scattered clouds
105,Qaqortoq,GL,60.7167,-46.0333,31.33,79,100,3.51,overcast clouds
106,Hithadhoo,MV,-0.6,73.0833,82.38,69,63,7.76,broken clouds
107,Pevek,RU,69.7008,170.3133,30.83,98,100,14.38,light snow
108,Plettenberg Bay,ZA,-34.0527,23.3716,55.69,76,0,3.47,clear sky
109,Rockport,US,28.0206,-97.0544,82.99,79,0,13.8,clear sky
110,Provideniya,RU,64.3833,-173.3,34.86,95,100,7.45,overcast clouds
111,Itaituba,BR,-4.2761,-55.9836,74.93,99,95,1.63,moderate rain
112,Vestmannaeyjar,IS,63.4427,-20.2734,46.44,90,100,23.44,overcast clouds
113,Luderitz,NA,-26.6481,15.1594,61.14,41,61,8.16,broken clouds
114,La Macarena,CO,2.1837,-73.7849,70.5,99,100,1.14,overcast clouds
115,Avarua,CK,-21.2078,-159.775,80.65,69,75,6.91,broken clouds
116,Geraldton,AU,-28.7667,114.6,59.41,88,75,3.44,broken clouds
117,Lorengau,PG,-2.0226,147.2712,85.5,63,100,7.76,overcast clouds
118,Satellite Beach,US,28.1761,-80.5901,79.09,80,0,10.36,clear sky
119,Ayan,RU,56.45,138.1667,36.0,92,100,16.6,light rain
120,Asosa,ET,10.0667,34.5333,66.72,73,100,4.18,overcast clouds
121,Aden,YE,12.7794,45.0367,88.16,43,9,4.47,clear sky
122,Tasiilaq,GL,65.6145,-37.6368,26.76,77,100,3.04,overcast clouds
123,Husavik,IS,66.0449,-17.3389,38.59,83,99,9.15,overcast clouds
124,Pungesti,RO,46.7,27.3333,53.04,70,69,3.74,broken clouds
125,Mar Del Plata,AR,-38.0023,-57.5575,49.95,72,0,6.91,clear sky
126,Adrar,MR,20.5022,-10.0711,85.06,12,95,9.8,overcast clouds
127,Yinchuan,CN,38.4681,106.2731,59.72,12,63,4.21,broken clouds
128,Havelock,US,34.8791,-76.9013,71.92,91,20,8.05,few clouds
129,Staryy Nadym,RU,65.6118,72.6842,45.75,97,75,8.77,broken clouds
130,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,75,75,7.0,broken clouds
131,Dikson,RU,73.5069,80.5464,30.63,87,100,1.83,overcast clouds
132,Pareora,NZ,-44.4871,171.2132,52.18,97,100,7.45,moderate rain
133,Strohonivka,UA,44.9431,34.1973,52.2,65,8,4.25,clear sky
134,Bone,DE,51.9669,12.1396,50.83,81,41,3.85,scattered clouds
135,Preobrazheniye,RU,42.9019,133.9064,53.33,56,0,12.08,clear sky
136,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,41,8.57,light rain
137,Katsuura,JP,35.1333,140.3,62.78,78,100,22.06,overcast clouds
138,Vardo,NO,70.3705,31.1107,35.58,100,100,2.3,overcast clouds
139,Kadhan,PK,24.481,68.9859,81.72,76,0,16.87,clear sky
140,Jumla,NP,29.2747,82.1838,58.75,76,3,1.23,clear sky
141,Samfya,ZM,-11.3649,29.5565,56.3,71,0,6.49,clear sky
142,Thompson,CA,55.7435,-97.8558,42.96,100,100,3.44,overcast clouds
143,Misratah,LY,32.3754,15.0925,68.0,60,0,9.48,clear sky
144,Sola,VU,-13.8833,167.55,83.07,70,100,6.91,overcast clouds
145,Nizhnevartovsk,RU,60.9344,76.5531,55.42,82,0,7.0,clear sky
146,Kruisfontein,ZA,-34.0033,24.7314,51.37,88,0,4.94,clear sky
147,Chama,CH,47.1821,8.4636,60.24,75,14,0.0,few clouds
148,Codrington,AU,-38.2667,141.9667,63.99,60,0,21.05,clear sky
149,Filadelfia,US,39.9523,-75.1638,68.2,95,100,3.44,overcast clouds
150,Mahanoro,MG,-19.9,48.8,67.57,84,9,4.72,clear sky
151,Gat,IL,31.61,34.7642,74.08,81,99,8.37,overcast clouds
152,Qaanaaq,GL,77.484,-69.3632,14.0,75,23,5.99,few clouds
153,Belaya Gora,RU,68.5333,146.4167,24.78,82,100,6.31,overcast clouds
154,Matagami,CA,49.7502,-77.6328,78.91,41,0,6.91,clear sky
155,Pilar,BR,-9.5972,-35.9567,73.33,92,18,1.07,few clouds
156,Orsha,BY,54.5153,30.4053,42.89,98,100,7.92,overcast clouds
157,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,83,75,3.44,broken clouds
158,Urucui,BR,-7.2294,-44.5561,81.77,51,89,3.4,overcast clouds
159,Aswan,EG,24.0934,32.907,86.81,22,0,11.36,clear sky
160,Fortuna,US,40.5982,-124.1573,66.92,78,0,13.8,clear sky
161,Saint-Joseph,RE,-21.3667,55.6167,68.38,76,22,9.04,few clouds
162,Ilulissat,GL,69.2167,-51.1,26.62,54,40,4.61,scattered clouds
163,New Norfolk,AU,-42.7826,147.0587,63.88,61,10,7.0,clear sky
164,Lata,PT,40.1629,-8.3327,59.04,92,62,4.7,broken clouds
165,Longyearbyen,SJ,78.2186,15.6401,28.24,74,75,5.75,broken clouds
166,Cururupu,BR,-1.8283,-44.8683,76.53,93,100,3.83,overcast clouds
167,Camacha,PT,33.0833,-16.3333,62.02,88,20,4.61,few clouds
168,Naze,JP,28.3667,129.4833,65.32,80,100,11.45,light rain
169,Hilo,US,19.7297,-155.09,87.28,77,75,12.66,broken clouds
170,Nalut,LY,30.3333,10.85,68.94,20,0,7.96,clear sky
171,Marquette,US,46.5333,-87.6335,72.84,84,96,5.19,overcast clouds
172,Atuona,PF,-9.8,-139.0333,78.17,79,21,17.85,light rain
173,Nabire,ID,-3.3667,135.4833,84.33,67,100,2.57,overcast clouds
174,Kahului,US,20.8947,-156.47,84.22,51,20,24.16,few clouds
175,Snezhnogorsk,RU,69.1933,33.2531,35.38,77,56,3.13,broken clouds
176,Isabela,PH,6.7085,121.9711,80.65,93,100,4.56,moderate rain
177,Bubaque,GW,11.2833,-15.8333,78.67,81,17,15.14,few clouds
178,Olafsvik,IS,64.8945,-23.7142,40.98,89,100,20.18,moderate rain
179,Talaya,RU,61.3833,152.75,37.54,95,100,2.3,overcast clouds
180,Ouegoa,NC,-20.35,164.4333,79.21,69,87,11.72,overcast clouds
181,Sarakhs,IR,36.5449,61.1577,57.34,51,0,2.3,clear sky
